turfID,site,year,old,new,special,cover1,special2,cover2
A1-O,A,2016,Pol.mac,Pol.viv,,,,
A1-OTC,A,2016,Pol.mac,Pol.viv,,,,
A2-1,M,2016,Far.spp,Far.spa,,,,
A2-1,M,2016,You.rac,Sau.cet,,,,
A2-C,A,2016,Jun.him,Jun.leu,,,,
A2-C,A,2016,Pol.mac,Pol.viv,,,,
A2-O,A,2016,Jun.him,Jun.leu,,,,
A2-OTC,A,2016,Jun.him,Jun.leu,,,,
A2-OTC,A,2016,Pol.mac,Pol.viv,,,,
A3-1,M,2016,Far.spp,Far.spa,,,,
A3-O,A,2016,Jun.him,Jun.leu,,,,
A3-OTC,A,2016,Pol.mac,Pol.viv,,,,
A5-1,M,2016,Far.spp,Far.spa,,,,
A5-C,A,2016,Pol.mac,Pol.viv,,,,
A5-C,A,2016,Sau.ste,,,,,
A5-O,A,2016,Jun.leu,Jun.him,,,,
A5-OTC,A,2016,Jun.leu,Jun.him,,,,
A5-OTC,A,2016,Pol.mac,Pol.viv,,,,
A6-1,M,2016,Mal.mon,Gal.spa,,,,
A6-C,A,2016,Pol.mac,Pol.viv,,,,
A7-O,A,2016,Fes.spp,,,,,
H1-C,H,2016,Pri.def,Pri.ser,,,,
H1-C,H,2016,Sau.ste,Sau.gra,,,,
H1-C,H,2016,Sau.pac,Sau.cet,,,,
H1-O,H,2016,Sau.ste,Sau.gra,,,,
H1-O,H,2016,Sau.pac,Sau.cet,,,,
H1-OTC,H,2016,Sau.ste,Sau.gra,,,,
H1-OTC,H,2016,Sau.pac,Sau.cet,,,,
H2-1,A,2016,Gal.spp,Gal.spa,,,,
H2-1,A,2016,Hal.cor,Swe.mac,,,,
H2-C,H,2016,Pol.viv,Pol.mac,,,,
H2-C,H,2016,Sau.pac,Sau.cet,,,,
H3-1,A,2016,Sau.pac,Sau.cet,,,,
H3-OTC,H,2016,Fes.spp,Poa.spp,,,,
H4-1,A,2016,Sau.ste,Sau.gra,,,,
H4-O,H,2016,Kob.pyg,Kob.cer,,,,
H5-OTC,H,2016,Sib.pen,,,,,
H7-3,L,2016,Ger.nep,Ger.pyl,,,,
H7-3,L,2016,Poa.spp,Fes.spp,,,,
L1-2,M,2016,Hal.cor,Swe.mac,,,,
L1-C,L,2016,Car.nub,Car.spp,,,,
L1-OTC,L,2016,Car.nub,Car.spp,,,,
L2-2,M,2016,Far.spp,Far.spa,,,,
L2-2,M,2016,Hal.cor,Swe.mac,,,,
L2-C,L,2016,Car.nub,Car.spp,,,,
L2-OTC,L,2016,Car.nub,Car.spp,,,,
L3-C,L,2016,Car.nub,Car.spp,,,,
L3-O,L,2016,Car.nub,Car.spp,,,,
L5-O,L,2016,Car.nub,Car.spp,,,,
L6-2,M,2016,Fes.spp,Poa.spp,,,,
L6-C,L,2016,Car.nub,Car.spp,,,,
L6-C,L,2016,Cli.pol,Ver.sze,,,,
L6-OTC,L,2016,Car.nub,Car.spp,,,,
L7-2,M,2016,Hal.cor,Swe.mac,,,,
L7-C,L,2016,Car.nub,Car.spp,,,,
L7-O,L,2016,Car.nub,Car.spp,,,,
L7-O,L,2016,Jun.set,Jun.him,,,,
M1-2,A,2016,Hal.cor,Swe.mac,,,,
M1-2,A,2016,Pol.mac,Pol.viv,,,,
M1-C,M,2016,Far.spp,Far.spa,,,,
M1-C,M,2016,Jun.him,Jun.all,,,,
M1-O,M,2016,Ger.nep,Ger.pyl,,,,
M1-O,M,2016,Hal.cor,Swe.mac,,,,
M1-OTC,M,2016,Far.spp,Far.spa,,,,
M2-1,L,2016,Far.spp,Far.spa,,,,
M2-2,A,2016,Hal.cor,Swe.mac,,,,
M2-C,M,2016,Hal.cor,Swe.mac,,,,
M2-O,M,2016,Ger.nep,Ger.pyl,,,,
M2-OTC,M,2016,Hal.cor,Swe.mac,,,,
M3-1,L,2016,Far.spp,Far.spa,,,,
M3-2,A,2016,Ger.nep,Ger.pyl,,,,
M3-OTC,M,2016,Far.spp,Far.spa,,,,
M4-2,A,2016,Ger.nep,Ger.pyl,,,,
M4-O,M,2016,Ger.nep,Ger.pyl,,,,
M4-O,M,2016,Far.spp,Far.spa,,,,
M4-OTC,M,2016,Far.spp,Far.spa,,,,
M5-2,A,2016,Hal.cor,Swe.mac,,,,
M5-C,M,2016,Far.spp,Far.spa,,,,
M5-C,M,2016,Hal.cor,Swe.mac,,,,
M5-C,M,2016,Ver.sze,Cli.pol,,,,
